0,1
9957,9767
9941,9738
8739,8187
9711,8346
9371,9656
9748,8631
8434,9240
9242,8073
8882,9395
9307,8805
9645,9480
9761,9042
9944,8761
9114,9916
8911,9028
8549,9845
8073,9783
8056,8745
8952,9908
8652,9859
9826,8867
9810,9076
8336,9147
8472,8483
8048,8665
8355,8279
8736,9044
9052,9381
9146,9830
8912,9631
8849,9504
9075,9856
9860,9562
8745,9617
9215,8724
8741,9759
8330,8912
9955,9544
8818,9512
8944,9341
9086,8511
9003,8571
9025,9020
9055,9702
9808,8724
8931,8944
8718,9162
9486,9141
8996,8935
9926,8454
8664,9668
9432,9710
8340,9795
9859,9262
8549,9583
9866,8982
8633,8621
9702,9636
9032,9151
9060,9334
9261,9204
8832,8638
9496,8425
9001,9048
8750,9913
9401,9276
9606,8154
9680,9486
8017,9858
9669,8391
9525,8217
8100,9176
8464,9211
9544,9875
9069,8279
9748,8544
8501,9689
9803,9932
9468,8866
8737,8065
8352,8510
9377,8048
8169,8235
9954,8051
8083,9493
9881,8043
8764,8523
8261,9665
9916,8321
9504,8376
8003,9416
8789,9207
8088,9626
9988,8310
8704,8008
9921,9285
9520,9531
8231,8585
8063,9000
8631,8918
